,label,sentence
1581,disgust,On boat trip - saw mother giving young child (aprox 6-7 years) cigarettes.
6580,joy,I met a certain lady at Mchesi and I proposed a word of love to her and at the same time she accepted my proposal.
972,fear,When I saw Russian roulette on TV. (obviously the movie \Deer hunter\)
6231,guilt,When a patient had died soon after I had told the guardian to wait outside the ward.
3153,fear,I was terrified during an axcursion in Italy. I was lost and left alone in this unfamiliar country.
1526,shame,At school I was bad in mathematics. Although my teacher had admonished me to do my homework, one day I had forgotten to do it. When my teacher noticed it, I blushed and was ashamed to be rebuked in front of the other pupils.
770,anger,One of my best friends accused me of giving up to early on problems. It was only a casual remark on her side, but I was angry and hurt.
5643,sadness,At one point in a relationship, my boyfriend was seeing an old flame more than me. At our confrontation tears were shed.
6669,shame,We were writing Primary school leaving Examinations when I had fallen at the steps going into the Exam room.
1880,disgust,Accidentally seeing a friend in a compromising situation with a stranger.
3483,disgust,Friends calling me fat - pear shaped in front of a nice girl.
3583,joy,At an important moment in a volleyball game we made a point and by this we won a set from a much stronger competitor.
2814,sadness,A boy I look after for the probation service deliberately offended to provoke a reaction from the police.
3291,fear,Riding through a bush fire on an island of Australia - on a pushbike as a little boy - all alone, lost and surrounded by smouldering wood and flame.
6611,sadness,I was sad when I heard that my cousin died because of being bewitched by her husband's second wife.
1001,anger,After having quarelled with a relative of mine about politics.
7513,fear,I am scared when I stroll alone on the Chung Chi college campus.
7135,disgust,Someone told me I was chosen for the English lectures because I am good looking.
6173,disgust,[ No response.]
1596,disgust,I assisted to a scene where the police attacked a person that didn't have his documents. The savagery was too much, and the attacked person blended to much.
1567,disgust,When a boy had continued to use foul language and swearing in front of a group of my friends.
675,disgust,I was present when they found a shop-keeper dead in his shop. He had been shot with a shotgun at close range.
5337,guilt,When I got very drunk and really misbehaved at Christmas.
570,sadness,My boy-friend an I separated on his initiative.
7220,shame,Not doing well in exams which I should do well (English examns).
7554,joy,I was admitted to the Chinese university of Hong Kong. The day the results were announced I looked in the newspaper and saw my candidature number.
5031,disgust,When my friend, after a beer spree vomitted in my sitting room.
1892,anger,A friend whom I had gone out of my way to do something for did not bother to acknowledge my efforts, and treated me badly thereafter.
8,fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.
1412,sadness,During the Christmas holidays, I went to see my parents and stayed with them for two weeks. After two or three days, we had the same conflicts we had had ten years before when I had lived with them. They were glad when I left.
